assembly,village,candidate,party,votes,rank_in_ac,is_top4
Adampur,Dhandoor,Bhupender Beniwal,,78,4,1
Adampur,Dhandoor,Krishan Gangwa Parjapati,JJP,19,5,0
Adampur,Dhandoor,Rajesh Kumar,,18,6,0
Adampur,Dhandoor,Ramphal,,7,7,0
Adampur,Dhandoor,Renu Chahal Balsamand,,3,8,0
Adampur,Dhandoor,Parmod Baswana,,2,9,0
Adampur,Dhandoor,Chander Parkash S/O Raja Ram,,2,10,0
Adampur,Dhandoor,Baljeet Singh,,4,11,0
Adampur,Dhandoor,Amit,,1,12,0
Adampur,Dhani Khassa,Chander Parkash S/O Arjun Lal,INC,57,1,1
Adampur,Dhani Khassa,Bhavya Bishnoi,BJP,189,2,1
Adampur,Dhani Khassa,Randeep Choudaryvas,INLD,1,3,1
Adampur,Dhani Khassa,Bhupender Beniwal,,71,4,1
Adampur,Dhani Khassa,Krishan Gangwa Parjapati,JJP,0,5,0
Adampur,Dhani Khassa,Rajesh Kumar,,0,6,0
Adampur,Dhani Khassa,Ramphal,,1,7,0
Adampur,Dhani Khassa,Renu Chahal Balsamand,,0,8,0
Adampur,Dhani Khassa,Parmod Baswana,,0,9,0
Adampur,Dhani Khassa,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Dhani Khassa,Baljeet Singh,,1,11,0
Adampur,Dhani Khassa,Amit,,0,12,0
Adampur,Dhani Mohabbatpur,Chander Parkash S/O Arjun Lal,INC,1206,1,1
Adampur,Dhani Mohabbatpur,Bhavya Bishnoi,BJP,1340,2,1
Adampur,Dhani Mohabbatpur,Randeep Choudaryvas,INLD,34,3,1
Adampur,Dhani Mohabbatpur,Bhupender Beniwal,,23,4,1
Adampur,Dhani Mohabbatpur,Krishan Gangwa Parjapati,JJP,88,5,0
Adampur,Dhani Mohabbatpur,Rajesh Kumar,,5,6,0
Adampur,Dhani Mohabbatpur,Ramphal,,4,7,0
Adampur,Dhani Mohabbatpur,Renu Chahal Balsamand,,1,8,0
Adampur,Dhani Mohabbatpur,Parmod Baswana,,0,9,0
Adampur,Dhani Mohabbatpur,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Dhani Mohabbatpur,Baljeet Singh,,0,11,0
Adampur,Dhani Mohabbatpur,Amit,,0,12,0
Adampur,Dhani Peerawali,Chander Parkash S/O Arjun Lal,INC,652,1,1
Adampur,Dhani Peerawali,Bhavya Bishnoi,BJP,616,2,1
Adampur,Dhani Peerawali,Randeep Choudaryvas,INLD,2,3,1
Adampur,Dhani Peerawali,Bhupender Beniwal,,57,4,1
Adampur,Dhani Peerawali,Krishan Gangwa Parjapati,JJP,7,5,0
Adampur,Dhani Peerawali,Rajesh Kumar,,7,6,0
Adampur,Dhani Peerawali,Ramphal,,3,7,0
Adampur,Dhani Peerawali,Renu Chahal Balsamand,,2,8,0
Adampur,Dhani Peerawali,Parmod Baswana,,3,9,0
Adampur,Dhani Peerawali,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Dhani Peerawali,Baljeet Singh,,3,11,0
Adampur,Dhani Peerawali,Amit,,0,12,0
Adampur,Dhani Sadalpur,Chander Parkash S/O Arjun Lal,INC,520,1,1
Adampur,Dhani Sadalpur,Bhavya Bishnoi,BJP,1833,2,1
Adampur,Dhani Sadalpur,Randeep Choudaryvas,INLD,24,3,1
Adampur,Dhani Sadalpur,Bhupender Beniwal,,6,4,1
Adampur,Dhani Sadalpur,Krishan Gangwa Parjapati,JJP,1,5,0
Adampur,Dhani Sadalpur,Rajesh Kumar,,6,6,0
Adampur,Dhani Sadalpur,Ramphal,,6,7,0
Adampur,Dhani Sadalpur,Renu Chahal Balsamand,,0,8,0
Adampur,Dhani Sadalpur,Parmod Baswana,,1,9,0
Adampur,Dhani Sadalpur,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Dhani Sadalpur,Baljeet Singh,,0,11,0
Adampur,Dhani Sadalpur,Amit,,0,12,0
Adampur,Dobhi,Chander Parkash S/O Arjun Lal,INC,2041,1,1
Adampur,Dobhi,Bhavya Bishnoi,BJP,1693,2,1
Adampur,Dobhi,Randeep Choudaryvas,INLD,171,3,1
Adampur,Dobhi,Bhupender Beniwal,,61,4,1
Adampur,Dobhi,Krishan Gangwa Parjapati,JJP,50,5,0
Adampur,Dobhi,Rajesh Kumar,,14,6,0
Adampur,Dobhi,Ramphal,,8,7,0
Adampur,Dobhi,Renu Chahal Balsamand,,5,8,0
Adampur,Dobhi,Parmod Baswana,,1,9,0
Adampur,Dobhi,Chander Parkash S/O Raja Ram,,3,10,0
Adampur,Dobhi,Baljeet Singh,,0,11,0
Adampur,Dobhi,Amit,,0,12,0
Adampur,Durjanpur,Chander Parkash S/O Arjun Lal,INC,1341,1,1
Adampur,Durjanpur,Bhavya Bishnoi,BJP,893,2,1
Adampur,Durjanpur,Randeep Choudaryvas,INLD,30,3,1
Adampur,Durjanpur,Bhupender Beniwal,,22,4,1
Adampur,Durjanpur,Krishan Gangwa Parjapati,JJP,33,5,0
Adampur,Durjanpur,Rajesh Kumar,,5,6,0
Adampur,Durjanpur,Ramphal,,4,7,0
Adampur,Durjanpur,Renu Chahal Balsamand,,3,8,0
Adampur,Durjanpur,Parmod Baswana,,0,9,0
Adampur,Durjanpur,Chander Parkash S/O Raja Ram,,2,10,0
Adampur,Durjanpur,Baljeet Singh,,0,11,0
Adampur,Durjanpur,Amit,,0,12,0
Adampur,Fransi,Chander Parkash S/O Arjun Lal,INC,876,1,1
Adampur,Fransi,Bhavya Bishnoi,BJP,484,2,1
Adampur,Fransi,Randeep Choudaryvas,INLD,34,3,1
Adampur,Fransi,Bhupender Beniwal,,84,4,1
Adampur,Fransi,Krishan Gangwa Parjapati,JJP,26,5,0
Adampur,Fransi,Rajesh Kumar,,1,6,0
Adampur,Fransi,Ramphal,,2,7,0
Adampur,Fransi,Renu Chahal Balsamand,,0,8,0
Adampur,Fransi,Parmod Baswana,,0,9,0
Adampur,Fransi,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Fransi,Baljeet Singh,,0,11,0
Adampur,Fransi,Amit,,0,12,0
Adampur,Ghora Farm,Chander Parkash S/O Arjun Lal,INC,174,1,1
Adampur,Ghora Farm,Bhavya Bishnoi,BJP,128,2,1
Adampur,Ghora Farm,Randeep Choudaryvas,INLD,2,3,1
Adampur,Ghora Farm,Bhupender Beniwal,,1,4,1
Adampur,Ghora Farm,Krishan Gangwa Parjapati,JJP,4,5,0
Adampur,Ghora Farm,Rajesh Kumar,,0,6,0
Adampur,Ghora Farm,Ramphal,,1,7,0
Adampur,Ghora Farm,Renu Chahal Balsamand,,1,8,0
Adampur,Ghora Farm,Parmod Baswana,,1,9,0
Adampur,Ghora Farm,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Ghora Farm,Baljeet Singh,,0,11,0
Adampur,Ghora Farm,Amit,,0,12,0
Adampur,Ghudsal,Chander Parkash S/O Arjun Lal,INC,935,1,1
Adampur,Ghudsal,Bhavya Bishnoi,BJP,455,2,1
Adampur,Ghudsal,Randeep Choudaryvas,INLD,51,3,1
Adampur,Ghudsal,Bhupender Beniwal,,13,4,1
Adampur,Ghudsal,Krishan Gangwa Parjapati,JJP,6,5,0
Adampur,Ghudsal,Rajesh Kumar,,1,6,0
Adampur,Ghudsal,Ramphal,,0,7,0
Adampur,Ghudsal,Renu Chahal Balsamand,,2,8,0
Adampur,Ghudsal,Parmod Baswana,,0,9,0
Adampur,Ghudsal,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Ghudsal,Baljeet Singh,,0,11,0
Adampur,Ghudsal,Amit,,0,12,0
Adampur,Jagan,Chander Parkash S/O Arjun Lal,INC,1163,1,1
Adampur,Jagan,Bhavya Bishnoi,BJP,537,2,1
Adampur,Jagan,Randeep Choudaryvas,INLD,46,3,1
Adampur,Jagan,Bhupender Beniwal,,33,4,1
Adampur,Jagan,Krishan Gangwa Parjapati,JJP,25,5,0
Adampur,Jagan,Rajesh Kumar,,0,6,0
Adampur,Jagan,Ramphal,,1,7,0
Adampur,Jagan,Renu Chahal Balsamand,,2,8,0
Adampur,Jagan,Parmod Baswana,,1,9,0
