assembly,village,candidate,party,votes,rank_in_ac,is_top4
Kalayat,Saungari,Vinod Nirmal,,47,5,0
Kalayat,Saungari,Satvinder Singh Rana,,15,6,0
Kalayat,Saungari,Anurag Dhanda,,85,7,0
Kalayat,Saungari,Ashish Rasila,,13,8,0
Kalayat,Saungari,Pritam Kolekhan,JJP,7,9,0
Kalayat,Saungari,Sandeep Kotra Advocate,,6,10,0
Kalayat,Saungari,Rajesh Kumar,,8,11,0
Kalayat,Saungari,Salinder Kumar,,3,12,0
Kalayat,Saungari,Jitender Singh Urf Dhola,,4,13,0
Kalayat,Saungari,Rajender Kumar,,3,14,0
Kalayat,Sega,Vikas Saharan,INC,666,1,1
Kalayat,Sega,Kamlesh Dhanda,BJP,481,2,1
Kalayat,Sega,Anita Dhull Badsikri,,195,3,1
Kalayat,Sega,Rampal Majra,INLD,224,4,1
Kalayat,Sega,Vinod Nirmal,,75,5,0
Kalayat,Sega,Satvinder Singh Rana,,10,6,0
Kalayat,Sega,Anurag Dhanda,,65,7,0
Kalayat,Sega,Ashish Rasila,,27,8,0
Kalayat,Sega,Pritam Kolekhan,JJP,6,9,0
Kalayat,Sega,Sandeep Kotra Advocate,,2,10,0
Kalayat,Sega,Rajesh Kumar,,1,11,0
Kalayat,Sega,Salinder Kumar,,4,12,0
Kalayat,Sega,Jitender Singh Urf Dhola,,3,13,0
Kalayat,Sega,Rajender Kumar,,68,14,0
Kalayat,Serda,Vikas Saharan,INC,666,1,1
Kalayat,Serda,Kamlesh Dhanda,BJP,749,2,1
Kalayat,Serda,Anita Dhull Badsikri,,2128,3,1
Kalayat,Serda,Rampal Majra,INLD,234,4,1
Kalayat,Serda,Vinod Nirmal,,64,5,0
Kalayat,Serda,Satvinder Singh Rana,,37,6,0
Kalayat,Serda,Anurag Dhanda,,122,7,0
Kalayat,Serda,Ashish Rasila,,408,8,0
Kalayat,Serda,Pritam Kolekhan,JJP,41,9,0
Kalayat,Serda,Sandeep Kotra Advocate,,25,10,0
Kalayat,Serda,Rajesh Kumar,,11,11,0
Kalayat,Serda,Salinder Kumar,,7,12,0
Kalayat,Serda,Jitender Singh Urf Dhola,,9,13,0
Kalayat,Serda,Rajender Kumar,,3,14,0
Kalayat,Shiksha Bharti School Wali Gali,Vikas Saharan,INC,162,1,1
Kalayat,Shiksha Bharti School Wali Gali,Kamlesh Dhanda,BJP,283,2,1
Kalayat,Shiksha Bharti School Wali Gali,Anita Dhull Badsikri,,160,3,1
Kalayat,Shiksha Bharti School Wali Gali,Rampal Majra,INLD,26,4,1
Kalayat,Shiksha Bharti School Wali Gali,Vinod Nirmal,,220,5,0
Kalayat,Shiksha Bharti School Wali Gali,Satvinder Singh Rana,,16,6,0
Kalayat,Shiksha Bharti School Wali Gali,Anurag Dhanda,,36,7,0
Kalayat,Shiksha Bharti School Wali Gali,Ashish Rasila,,0,8,0
Kalayat,Shiksha Bharti School Wali Gali,Pritam Kolekhan,JJP,17,9,0
Kalayat,Shiksha Bharti School Wali Gali,Sandeep Kotra Advocate,,1,10,0
Kalayat,Shiksha Bharti School Wali Gali,Rajesh Kumar,,1,11,0
Kalayat,Shiksha Bharti School Wali Gali,Salinder Kumar,,0,12,0
Kalayat,Shiksha Bharti School Wali Gali,Jitender Singh Urf Dhola,,1,13,0
Kalayat,Shiksha Bharti School Wali Gali,Rajender Kumar,,1,14,0
Kalayat,Shimla,Vikas Saharan,INC,1069,1,1
Kalayat,Shimla,Kamlesh Dhanda,BJP,379,2,1
Kalayat,Shimla,Anita Dhull Badsikri,,594,3,1
Kalayat,Shimla,Rampal Majra,INLD,344,4,1
Kalayat,Shimla,Vinod Nirmal,,42,5,0
Kalayat,Shimla,Satvinder Singh Rana,,6,6,0
Kalayat,Shimla,Anurag Dhanda,,148,7,0
Kalayat,Shimla,Ashish Rasila,,104,8,0
Kalayat,Shimla,Pritam Kolekhan,JJP,16,9,0
Kalayat,Shimla,Sandeep Kotra Advocate,,3,10,0
Kalayat,Shimla,Rajesh Kumar,,4,11,0
Kalayat,Shimla,Salinder Kumar,,0,12,0
Kalayat,Shimla,Jitender Singh Urf Dhola,,5,13,0
Kalayat,Shimla,Rajender Kumar,,4,14,0
Kalayat,Silsala (Abadi Silsala),Vikas Saharan,INC,710,1,1
Kalayat,Silsala (Abadi Silsala),Kamlesh Dhanda,BJP,502,2,1
Kalayat,Silsala (Abadi Silsala),Anita Dhull Badsikri,,225,3,1
Kalayat,Silsala (Abadi Silsala),Rampal Majra,INLD,139,4,1
Kalayat,Silsala (Abadi Silsala),Vinod Nirmal,,19,5,0
Kalayat,Silsala (Abadi Silsala),Satvinder Singh Rana,,23,6,0
Kalayat,Silsala (Abadi Silsala),Anurag Dhanda,,35,7,0
Kalayat,Silsala (Abadi Silsala),Ashish Rasila,,19,8,0
Kalayat,Silsala (Abadi Silsala),Pritam Kolekhan,JJP,10,9,0
Kalayat,Silsala (Abadi Silsala),Sandeep Kotra Advocate,,2,10,0
Kalayat,Silsala (Abadi Silsala),Rajesh Kumar,,5,11,0
Kalayat,Silsala (Abadi Silsala),Salinder Kumar,,3,12,0
Kalayat,Silsala (Abadi Silsala),Jitender Singh Urf Dhola,,3,13,0
Kalayat,Silsala (Abadi Silsala),Rajender Kumar,,1,14,0
Kalayat,Sinnand,Vikas Saharan,INC,657,1,1
Kalayat,Sinnand,Kamlesh Dhanda,BJP,427,2,1
Kalayat,Sinnand,Anita Dhull Badsikri,,103,3,1
Kalayat,Sinnand,Rampal Majra,INLD,110,4,1
Kalayat,Sinnand,Vinod Nirmal,,184,5,0
Kalayat,Sinnand,Satvinder Singh Rana,,1,6,0
Kalayat,Sinnand,Anurag Dhanda,,54,7,0
Kalayat,Sinnand,Ashish Rasila,,12,8,0
Kalayat,Sinnand,Pritam Kolekhan,JJP,8,9,0
Kalayat,Sinnand,Sandeep Kotra Advocate,,1,10,0
Kalayat,Sinnand,Rajesh Kumar,,0,11,0
Kalayat,Sinnand,Salinder Kumar,,2,12,0
Kalayat,Sinnand,Jitender Singh Urf Dhola,,0,13,0
Kalayat,Sinnand,Rajender Kumar,,1,14,0
Kalayat,Sismore (Abadi Sismore),Vikas Saharan,INC,667,1,1
Kalayat,Sismore (Abadi Sismore),Kamlesh Dhanda,BJP,407,2,1
Kalayat,Sismore (Abadi Sismore),Anita Dhull Badsikri,,115,3,1
Kalayat,Sismore (Abadi Sismore),Rampal Majra,INLD,646,4,1
Kalayat,Sismore (Abadi Sismore),Vinod Nirmal,,117,5,0
Kalayat,Sismore (Abadi Sismore),Satvinder Singh Rana,,8,6,0
Kalayat,Sismore (Abadi Sismore),Anurag Dhanda,,13,7,0
Kalayat,Sismore (Abadi Sismore),Ashish Rasila,,13,8,0
Kalayat,Sismore (Abadi Sismore),Pritam Kolekhan,JJP,5,9,0
Kalayat,Sismore (Abadi Sismore),Sandeep Kotra Advocate,,1,10,0
Kalayat,Sismore (Abadi Sismore),Rajesh Kumar,,3,11,0
Kalayat,Sismore (Abadi Sismore),Salinder Kumar,,1,12,0
Kalayat,Sismore (Abadi Sismore),Jitender Singh Urf Dhola,,2,13,0
Kalayat,Sismore (Abadi Sismore),Rajender Kumar,,2,14,0
Kalayat,Taragarh,Vikas Saharan,INC,612,1,1
Kalayat,Taragarh,Kamlesh Dhanda,BJP,463,2,1
Kalayat,Taragarh,Anita Dhull Badsikri,,81,3,1
Kalayat,Taragarh,Rampal Majra,INLD,247,4,1
Kalayat,Taragarh,Vinod Nirmal,,22,5,0
Kalayat,Taragarh,Satvinder Singh Rana,,9,6,0
Kalayat,Taragarh,Anurag Dhanda,,108,7,0
Kalayat,Taragarh,Ashish Rasila,,65,8,0
Kalayat,Taragarh,Pritam Kolekhan,JJP,3,9,0
Kalayat,Taragarh,Sandeep Kotra Advocate,,4,10,0
Kalayat,Taragarh,Rajesh Kumar,,0,11,0
Kalayat,Taragarh,Salinder Kumar,,2,12,0
Kalayat,Taragarh,Jitender Singh Urf Dhola,,4,13,0
Kalayat,Taragarh,Rajender Kumar,,2,14,0
Kalayat,Titaram,Vikas Saharan,INC,818,1,1
Kalayat,Titaram,Kamlesh Dhanda,BJP,549,2,1
Kalayat,Titaram,Anita Dhull Badsikri,,250,3,1
Kalayat,Titaram,Rampal Majra,INLD,530,4,1
Kalayat,Titaram,Vinod Nirmal,,16,5,0
Kalayat,Titaram,Satvinder Singh Rana,,7,6,0
Kalayat,Titaram,Anurag Dhanda,,63,7,0
Kalayat,Titaram,Ashish Rasila,,20,8,0
Kalayat,Titaram,Pritam Kolekhan,JJP,4,9,0
Kalayat,Titaram,Sandeep Kotra Advocate,,2,10,0
Kalayat,Titaram,Rajesh Kumar,,1,11,0
Kalayat,Titaram,Salinder Kumar,,1,12,0
Kalayat,Titaram,Jitender Singh Urf Dhola,,2,13,0
Kalayat,Titaram,Rajender Kumar,,3,14,0
Kalayat,Wazir Nagar,Vikas Saharan,INC,211,1,1
Kalayat,Wazir Nagar,Kamlesh Dhanda,BJP,827,2,1
Kalayat,Wazir Nagar,Anita Dhull Badsikri,,70,3,1
Kalayat,Wazir Nagar,Rampal Majra,INLD,22,4,1
Kalayat,Wazir Nagar,Vinod Nirmal,,24,5,0
Kalayat,Wazir Nagar,Satvinder Singh Rana,,2,6,0
Kalayat,Wazir Nagar,Anurag Dhanda,,23,7,0
Kalayat,Wazir Nagar,Ashish Rasila,,15,8,0
Kalayat,Wazir Nagar,Pritam Kolekhan,JJP,1,9,0
Kalayat,Wazir Nagar,Sandeep Kotra Advocate,,2,10,0
Kalayat,Wazir Nagar,Rajesh Kumar,,0,11,0
Kalayat,Wazir Nagar,Salinder Kumar,,0,12,0
Kalayat,Wazir Nagar,Jitender Singh Urf Dhola,,1,13,0
Kalayat,Wazir Nagar,Rajender Kumar,,4,14,0
Kalka,Amravati Enclave,Shakti Rani Sharma,BJP,647,1,1
Kalka,Amravati Enclave,Pardeep Chaudhary,INC,435,2,1
Kalka,Amravati Enclave,Gopal Sukhomajri,,40,3,1
Kalka,Amravati Enclave,Charan Singh,BSP,1,4,1
Kalka,Amravati Enclave,Om Parkash Gujjar,,21,5,0
Kalka,Amravati Enclave,Amit Sharma,,1,6,0
Kalka,Amravati Enclave,Vishal,,1,7,0
Kalka,"Auriyan, Bans Haveli",Shakti Rani Sharma,BJP,93,1,1
Kalka,"Auriyan, Bans Haveli",Pardeep Chaudhary,INC,101,2,1
Kalka,"Auriyan, Bans Haveli",Gopal Sukhomajri,,15,3,1
Kalka,"Auriyan, Bans Haveli",Charan Singh,BSP,8,4,1
Kalka,"Auriyan, Bans Haveli",Om Parkash Gujjar,,2,5,0
Kalka,"Auriyan, Bans Haveli",Amit Sharma,,0,6,0
Kalka,"Auriyan, Bans Haveli",Vishal,,0,7,0
Kalka,Badauna Kalan,Shakti Rani Sharma,BJP,391,1,1
Kalka,Badauna Kalan,Pardeep Chaudhary,INC,311,2,1
Kalka,Badauna Kalan,Gopal Sukhomajri,,85,3,1
Kalka,Badauna Kalan,Charan Singh,BSP,0,4,1
Kalka,Badauna Kalan,Om Parkash Gujjar,,3,5,0
Kalka,Badauna Kalan,Amit Sharma,,3,6,0
Kalka,Badauna Kalan,Vishal,,1,7,0
Kalka,"Badh, Thane Ki Sair",Shakti Rani Sharma,BJP,439,1,1
Kalka,"Badh, Thane Ki Sair",Pardeep Chaudhary,INC,354,2,1
Kalka,"Badh, Thane Ki Sair",Gopal Sukhomajri,,201,3,1
Kalka,"Badh, Thane Ki Sair",Charan Singh,BSP,4,4,1
Kalka,"Badh, Thane Ki Sair",Om Parkash Gujjar,,7,5,0
Kalka,"Badh, Thane Ki Sair",Amit Sharma,,4,6,0
Kalka,"Badh, Thane Ki Sair",Vishal,,1,7,0
Kalka,Badhour (Alipur areas),Shakti Rani Sharma,BJP,268,1,1
Kalka,Badhour (Alipur areas),Pardeep Chaudhary,INC,578,2,1
Kalka,Badhour (Alipur areas),Gopal Sukhomajri,,224,3,1
Kalka,Badhour (Alipur areas),Charan Singh,BSP,4,4,1
Kalka,Badhour (Alipur areas),Om Parkash Gujjar,,8,5,0
Kalka,Badhour (Alipur areas),Amit Sharma,,2,6,0
Kalka,Badhour (Alipur areas),Vishal,,2,7,0
Kalka,Bagwali,Shakti Rani Sharma,BJP,793,1,1
Kalka,Bagwali,Pardeep Chaudhary,INC,568,2,1
Kalka,Bagwali,Gopal Sukhomajri,,39,3,1
Kalka,Bagwali,Charan Singh,BSP,21,4,1
Kalka,Bagwali,Om Parkash Gujjar,,5,5,0
Kalka,Bagwali,Amit Sharma,,3,6,0
Kalka,Bagwali,Vishal,,0,7,0
Kalka,"Banoi Khudabaksh, Sanwaliya",Shakti Rani Sharma,BJP,27,1,1
Kalka,"Banoi Khudabaksh, Sanwaliya",Pardeep Chaudhary,INC,231,2,1
Kalka,"Banoi Khudabaksh, Sanwaliya",Gopal Sukhomajri,,140,3,1
Kalka,"Banoi Khudabaksh, Sanwaliya",Charan Singh,BSP,2,4,1
Kalka,"Banoi Khudabaksh, Sanwaliya",Om Parkash Gujjar,,2,5,0
Kalka,"Banoi Khudabaksh, Sanwaliya",Amit Sharma,,3,6,0
Kalka,"Banoi Khudabaksh, Sanwaliya",Vishal,,1,7,0
Kalka,"Basawal, Kheda",Shakti Rani Sharma,BJP,163,1,1
Kalka,"Basawal, Kheda",Pardeep Chaudhary,INC,177,2,1
Kalka,"Basawal, Kheda",Gopal Sukhomajri,,630,3,1
Kalka,"Basawal, Kheda",Charan Singh,BSP,5,4,1
Kalka,"Basawal, Kheda",Om Parkash Gujjar,,0,5,0
Kalka,"Basawal, Kheda",Amit Sharma,,1,6,0
Kalka,"Basawal, Kheda",Vishal,,5,7,0
Kalka,Bhagwanpur (Toran Bans),Shakti Rani Sharma,BJP,560,1,1
Kalka,Bhagwanpur (Toran Bans),Pardeep Chaudhary,INC,151,2,1
Kalka,Bhagwanpur (Toran Bans),Gopal Sukhomajri,,95,3,1
Kalka,Bhagwanpur (Toran Bans),Charan Singh,BSP,5,4,1
Kalka,Bhagwanpur (Toran Bans),Om Parkash Gujjar,,1,5,0
Kalka,Bhagwanpur (Toran Bans),Amit Sharma,,2,6,0
Kalka,Bhagwanpur (Toran Bans),Vishal,,15,7,0
Kalka,Bharauli (Samoyala),Shakti Rani Sharma,BJP,150,1,1
Kalka,Bharauli (Samoyala),Pardeep Chaudhary,INC,311,2,1
Kalka,Bharauli (Samoyala),Gopal Sukhomajri,,160,3,1
Kalka,Bharauli (Samoyala),Charan Singh,BSP,7,4,1
Kalka,Bharauli (Samoyala),Om Parkash Gujjar,,1,5,0
Kalka,Bharauli (Samoyala),Amit Sharma,,5,6,0
Kalka,Bharauli (Samoyala),Vishal,,1,7,0
Kalka,Bhawali,Shakti Rani Sharma,BJP,85,1,1
Kalka,Bhawali,Pardeep Chaudhary,INC,304,2,1
Kalka,Bhawali,Gopal Sukhomajri,,180,3,1
Kalka,Bhawali,Charan Singh,BSP,7,4,1
Kalka,Bhawali,Om Parkash Gujjar,,2,5,0
Kalka,Bhawali,Amit Sharma,,3,6,0
Kalka,Bhawali,Vishal,,1,7,0
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Shakti Rani Sharma,BJP,1115,1,1
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Pardeep Chaudhary,INC,1019,2,1
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Gopal Sukhomajri,,342,3,1
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Charan Singh,BSP,13,4,1
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Om Parkash Gujjar,,22,5,0
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Amit Sharma,,8,6,0
Kalka,"Bhogpur (Dandma, Issar Nagar, Himshikha)",Vishal,,7,7,0
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Shakti Rani Sharma,BJP,250,1,1
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Pardeep Chaudhary,INC,132,2,1
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Gopal Sukhomajri,,28,3,1
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Charan Singh,BSP,2,4,1
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Om Parkash Gujjar,,1,5,0
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Amit Sharma,,7,6,0
Kalka,"Bhoj Balag (Rasun,Nathan,Balag)",Vishal,,1,7,0
Kalka,"Bhoj Darda, Bhoj Kharak",Shakti Rani Sharma,BJP,267,1,1
Kalka,"Bhoj Darda, Bhoj Kharak",Pardeep Chaudhary,INC,86,2,1
Kalka,"Bhoj Darda, Bhoj Kharak",Gopal Sukhomajri,,35,3,1
Kalka,"Bhoj Darda, Bhoj Kharak",Charan Singh,BSP,1,4,1
Kalka,"Bhoj Darda, Bhoj Kharak",Om Parkash Gujjar,,1,5,0
Kalka,"Bhoj Darda, Bhoj Kharak",Amit Sharma,,2,6,0
Kalka,"Bhoj Darda, Bhoj Kharak",Vishal,,1,7,0
Kalka,Bhoj Dharti (Bhudi),Shakti Rani Sharma,BJP,533,1,1
Kalka,Bhoj Dharti (Bhudi),Pardeep Chaudhary,INC,249,2,1
Kalka,Bhoj Dharti (Bhudi),Gopal Sukhomajri,,58,3,1
Kalka,Bhoj Dharti (Bhudi),Charan Singh,BSP,3,4,1
Kalka,Bhoj Dharti (Bhudi),Om Parkash Gujjar,,4,5,0
Kalka,Bhoj Dharti (Bhudi),Amit Sharma,,9,6,0
Kalka,Bhoj Dharti (Bhudi),Vishal,,1,7,0
Kalka,Bhoj Jabiyal (and Chankha),Shakti Rani Sharma,BJP,450,1,1
Kalka,Bhoj Jabiyal (and Chankha),Pardeep Chaudhary,INC,233,2,1
Kalka,Bhoj Jabiyal (and Chankha),Gopal Sukhomajri,,76,3,1
Kalka,Bhoj Jabiyal (and Chankha),Charan Singh,BSP,2,4,1
Kalka,Bhoj Jabiyal (and Chankha),Om Parkash Gujjar,,2,5,0
Kalka,Bhoj Jabiyal (and Chankha),Amit Sharma,,2,6,0
Kalka,Bhoj Jabiyal (and Chankha),Vishal,,0,7,0
Kalka,Bhoj Koti (Badi Sher areas),Shakti Rani Sharma,BJP,598,1,1
Kalka,Bhoj Koti (Badi Sher areas),Pardeep Chaudhary,INC,433,2,1
Kalka,Bhoj Koti (Badi Sher areas),Gopal Sukhomajri,,71,3,1
Kalka,Bhoj Koti (Badi Sher areas),Charan Singh,BSP,12,4,1
Kalka,Bhoj Koti (Badi Sher areas),Om Parkash Gujjar,,9,5,0
Kalka,Bhoj Koti (Badi Sher areas),Amit Sharma,,4,6,0
Kalka,Bhoj Koti (Badi Sher areas),Vishal,,0,7,0
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Shakti Rani Sharma,BJP,869,1,1
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Pardeep Chaudhary,INC,188,2,1
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Gopal Sukhomajri,,70,3,1
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Charan Singh,BSP,1,4,1
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Om Parkash Gujjar,,4,5,0
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Amit Sharma,,26,6,0
Kalka,"Bhoj Kudana (Kudana, Marad, Samalotha)",Vishal,,1,7,0
Kalka,Bhoj Mator (various Bans areas),Shakti Rani Sharma,BJP,1368,1,1
Kalka,Bhoj Mator (various Bans areas),Pardeep Chaudhary,INC,551,2,1
Kalka,Bhoj Mator (various Bans areas),Gopal Sukhomajri,,367,3,1
Kalka,Bhoj Mator (various Bans areas),Charan Singh,BSP,1,4,1
Kalka,Bhoj Mator (various Bans areas),Om Parkash Gujjar,,12,5,0
Kalka,Bhoj Mator (various Bans areas),Amit Sharma,,20,6,0
Kalka,Bhoj Mator (various Bans areas),Vishal,,8,7,0
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Shakti Rani Sharma,BJP,1186,1,1
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Pardeep Chaudhary,INC,958,2,1
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Gopal Sukhomajri,,109,3,1
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Charan Singh,BSP,5,4,1
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Om Parkash Gujjar,,2,5,0
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Amit Sharma,,12,6,0
Kalka,"Bhoj Nangal (Trilokpur, Deoda, Chain, Harta, Sunayana)",Vishal,,4,7,0
Kalka,Bhoj Ponta (various Bans areas),Shakti Rani Sharma,BJP,340,1,1
Kalka,Bhoj Ponta (various Bans areas),Pardeep Chaudhary,INC,162,2,1
Kalka,Bhoj Ponta (various Bans areas),Gopal Sukhomajri,,287,3,1
Kalka,Bhoj Ponta (various Bans areas),Charan Singh,BSP,2,4,1
Kalka,Bhoj Ponta (various Bans areas),Om Parkash Gujjar,,5,5,0
Kalka,Bhoj Ponta (various Bans areas),Amit Sharma,,6,6,0
Kalka,Bhoj Ponta (various Bans areas),Vishal,,3,7,0
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Shakti Rani Sharma,BJP,429,1,1
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Pardeep Chaudhary,INC,266,2,1
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Gopal Sukhomajri,,548,3,1
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Charan Singh,BSP,7,4,1
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Om Parkash Gujjar,,10,5,0
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Amit Sharma,,10,6,0
Kalka,"Bhoj Pyalasa (and Dudhgarh, Jaspur)",Vishal,,3,7,0
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Shakti Rani Sharma,BJP,200,1,1
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Pardeep Chaudhary,INC,636,2,1
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Gopal Sukhomajri,,824,3,1
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Charan Singh,BSP,7,4,1
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Om Parkash Gujjar,,7,5,0
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Amit Sharma,,6,6,0
Kalka,"Bhoj Rajpura (Baladwala, Joli areas)",Vishal,,6,7,0
Kalka,Bhoj Tipra (Bans Kainain area),Shakti Rani Sharma,BJP,366,1,1
Kalka,Bhoj Tipra (Bans Kainain area),Pardeep Chaudhary,INC,237,2,1
Kalka,Bhoj Tipra (Bans Kainain area),Gopal Sukhomajri,,33,3,1
Kalka,Bhoj Tipra (Bans Kainain area),Charan Singh,BSP,0,4,1
Kalka,Bhoj Tipra (Bans Kainain area),Om Parkash Gujjar,,3,5,0
Kalka,Bhoj Tipra (Bans Kainain area),Amit Sharma,,5,6,0
Kalka,Bhoj Tipra (Bans Kainain area),Vishal,,0,7,0
Kalka,Bhojnaita (Bansmarog area),Shakti Rani Sharma,BJP,263,1,1
Kalka,Bhojnaita (Bansmarog area),Pardeep Chaudhary,INC,127,2,1
Kalka,Bhojnaita (Bansmarog area),Gopal Sukhomajri,,39,3,1
Kalka,Bhojnaita (Bansmarog area),Charan Singh,BSP,0,4,1
Kalka,Bhojnaita (Bansmarog area),Om Parkash Gujjar,,0,5,0
Kalka,Bhojnaita (Bansmarog area),Amit Sharma,,4,6,0
Kalka,Bhojnaita (Bansmarog area),Vishal,,1,7,0
Kalka,Bhud,Shakti Rani Sharma,BJP,208,1,1
Kalka,Bhud,Pardeep Chaudhary,INC,269,2,1
Kalka,Bhud,Gopal Sukhomajri,,497,3,1
Kalka,Bhud,Charan Singh,BSP,8,4,1
Kalka,Bhud,Om Parkash Gujjar,,2,5,0
Kalka,Bhud,Amit Sharma,,5,6,0
Kalka,Bhud,Vishal,,3,7,0
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Shakti Rani Sharma,BJP,512,1,1
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Pardeep Chaudhary,INC,181,2,1
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Gopal Sukhomajri,,136,3,1
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Charan Singh,BSP,15,4,1
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Om Parkash Gujjar,,1,5,0
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Amit Sharma,,6,6,0
Kalka,"Bhuvana (Naulta, Jaisthal, Toran)",Vishal,,2,7,0
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Shakti Rani Sharma,BJP,2208,1,1
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Pardeep Chaudhary,INC,1410,2,1
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Gopal Sukhomajri,,582,3,1
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Charan Singh,BSP,94,4,1
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Om Parkash Gujjar,,66,5,0
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Amit Sharma,,11,6,0
Kalka,"Bitna (and Ghativala, Lekhram Colony)",Vishal,,4,7,0
Kalka,"Charniya, Molewali",Shakti Rani Sharma,BJP,140,1,1
Kalka,"Charniya, Molewali",Pardeep Chaudhary,INC,216,2,1
Kalka,"Charniya, Molewali",Gopal Sukhomajri,,462,3,1
Kalka,"Charniya, Molewali",Charan Singh,BSP,7,4,1
Kalka,"Charniya, Molewali",Om Parkash Gujjar,,2,5,0
Kalka,"Charniya, Molewali",Amit Sharma,,3,6,0
Kalka,"Charniya, Molewali",Vishal,,3,7,0
Kalka,"Chikan (Jodhpur, Bansghati)",Shakti Rani Sharma,BJP,212,1,1
Kalka,"Chikan (Jodhpur, Bansghati)",Pardeep Chaudhary,INC,365,2,1
Kalka,"Chikan (Jodhpur, Bansghati)",Gopal Sukhomajri,,517,3,1
Kalka,"Chikan (Jodhpur, Bansghati)",Charan Singh,BSP,3,4,1
Kalka,"Chikan (Jodhpur, Bansghati)",Om Parkash Gujjar,,1,5,0
Kalka,"Chikan (Jodhpur, Bansghati)",Amit Sharma,,1,6,0
Kalka,"Chikan (Jodhpur, Bansghati)",Vishal,,2,7,0
Kalka,DLF Pinjore (Home Valley),Shakti Rani Sharma,BJP,321,1,1
Kalka,DLF Pinjore (Home Valley),Pardeep Chaudhary,INC,184,2,1
Kalka,DLF Pinjore (Home Valley),Gopal Sukhomajri,,5,3,1
Kalka,DLF Pinjore (Home Valley),Charan Singh,BSP,1,4,1
Kalka,DLF Pinjore (Home Valley),Om Parkash Gujjar,,5,5,0
Kalka,DLF Pinjore (Home Valley),Amit Sharma,,1,6,0
Kalka,DLF Pinjore (Home Valley),Vishal,,0,7,0
Kalka,Dakarog (and Gavahi),Shakti Rani Sharma,BJP,252,1,1
Kalka,Dakarog (and Gavahi),Pardeep Chaudhary,INC,85,2,1
Kalka,Dakarog (and Gavahi),Gopal Sukhomajri,,59,3,1
Kalka,Dakarog (and Gavahi),Charan Singh,BSP,1,4,1
Kalka,Dakarog (and Gavahi),Om Parkash Gujjar,,0,5,0
Kalka,Dakarog (and Gavahi),Amit Sharma,,1,6,0
Kalka,Dakarog (and Gavahi),Vishal,,3,7,0
Kalka,Dandlawad,Shakti Rani Sharma,BJP,355,1,1
